ssn,age,education,marital-status,relationship,sex,income
723-72-3723,24.0,HS-grad,Never-married,Own-child,,<=50K
940-94-0940,38.0,HS-grad,Never-married,Unmarried,,
545-54-5545,22.0,Some-college,Never-married,Own-child,Female,<=50K
013-01-3013,18.0,HS-grad,Never-married,Own-child,Male,<=50K
039-03-9039,48.0,,Divorced,Not-in-family,,<=50K
157-15-7157,26.0,HS-grad,Never-married,Own-child,,
083-08-3083,31.0,Assoc-voc,,Not-in-family,Female,
768-76-8768,47.0,7th-8th,,,,<=50K
222-22-2222,41.0,,Divorced,,,<=50K
725-72-5725,23.0,Assoc-voc,Widowed,Not-in-family,Female,<=50K
111-11-1111,64.0,Some-college,Widowed,,Male,
460-46-0460,41.0,Some-college,Never-married,Own-child,Male,<=50K
996-99-6996,18.0,10th,Never-married,Own-child,,<=50K
660-66-0660,38.0,Masters,Married-civ-spouse,,Male,
585-58-5585,,,Married-civ-spouse,Husband,Male,
733-73-3733,74.0,Masters,Divorced,Husband,Female,
283-28-3283,51.0,,Married-civ-spouse,Husband,Male,
427-42-7427,42.0,Preschool,Married-civ-spouse,,Male,>50K
478-47-8478,32.0,HS-grad,Widowed,Wife,,<=50K
869-86-9869,,,Married-civ-spouse,,,<=50K
286-28-6286,,HS-grad,,,Male,
773-77-3773,56.0,Some-college,Married-civ-spouse,,Male,<=50K
238-23-8238,60.0,HS-grad,Separated,Not-in-family,Male,
657-65-7657,22.0,HS-grad,,,,
631-63-1631,42.0,Some-college,Married-civ-spouse,Husband,Male,
959-95-9959,24.0,7th-8th,,Own-child,Female,<=50K
548-54-8548,30.0,Bachelors,Married-civ-spouse,Husband,Male,
710-71-0710,22.0,Some-college,Never-married,,,
626-62-6626,17.0,HS-grad,Never-married,Own-child,,<=50K
535-53-5535,33.0,HS-grad,Divorced,Not-in-family,Female,<=50K
615-61-5615,37.0,,,Husband,Male,
814-81-4814,28.0,Assoc-acdm,Married-AF-spouse,Wife,Male,<=50K
892-89-2892,79.0,7th-8th,Never-married,Not-in-family,Female,<=50K
577-57-7577,22.0,HS-grad,Never-married,Own-child,Male,<=50K
482-48-2482,60.0,5th-6th,Married-civ-spouse,Husband,Male,
693-69-3693,36.0,,,Own-child,Female,
447-44-7447,42.0,10th,Widowed,Own-child,,<=50K
291-29-1291,30.0,Some-college,,Own-child,Male,
325-32-5325,54.0,Some-college,Divorced,,,
091-09-1091,34.0,Some-college,,Unmarried,,
547-54-7547,33.0,Masters,Divorced,Not-in-family,Female,
896-89-6896,,,,Not-in-family,Male,<=50K
